"ID","Model1_AICc","Model1_BIC","Model2_AICc","Model2_BIC"
247,34.7209640046082,32.8327488786248,20.2913519357482,15.9866385838245
249,34.5935074973321,21.5779403307181,36.1258121455144,6.5230198539136
250,33.628305384882,20.612738218268,33.7747301001353,4.17193780853449
251,15.1656301826222,8.37597055459835,22.7849074698304,9.29783293480062
252,50.3245908145112,49.7785820671067,36.1407532910146,34.0036969022135
253,50.6418727289536,51.1264366836152,37.4792745760414,36.9311333655222
254,40.7264692457249,40.1804604983204,35.3705237935646,33.2334674047635
255,34.9126004074685,32.1723978373147,29.6413560602523,23.8946742761314
256,6.89425626355286,-2.31684542710227,16.9047087912739,-2.10916832204496
257,5.75298541198674,7.06924783953604,5.40650578423611,6.09945286629178
258,34.501453577446,32.6132384514626,38.6168567535206,34.3121434015969
259,28.4037811842239,28.4033012271154,30.9674429641761,29.6789642299118
260,31.4318898980872,30.264090702496,35.6466614064502,32.5202457452946
261,30.1831063986617,27.4429038285078,29.2952853548917,23.5486035707708
262,33.456991088527,24.2458893978719,37.3234555041151,18.3095783907962
263,32.288749476019,33.2093625355419,34.172427412223,34.2792376926706
264,36.314583285145,33.5743807149912,41.5011184921784,35.7544367080575
265,29.8997448753313,28.0115297493479,29.0716432799897,24.766929928066
266,35.0722642515429,31.2976051364092,39.6716284968591,32.0961617457991
267,21.3859176253979,16.3108320499247,25.222306067824,15.2117824318158
276,36.8694730324773,23.8539058658633,54.5153919829878,24.912599691387
282,268.541440039741,280.336586784261,257.941182656309,272.613788736936
283,129.841517207351,139.268936754421,132.008528135085,143.663504890403
284,109.509174141839,119.849349535773,99.2687133518345,112.091134193338
285,152.491888804986,161.970243807724,132.919770129644,144.64006041204
