ID,Quadratic_AICc,Quadratic_BIC,Cubic_AICc,Cubic_BIC,Logistic_AICc,Gompertz_AICc,Baranyi_AICc,Logistic_BIC,Gompertz_BIC,Baranyi_BIC,ThreePhase_AICc,ThreePhase_BIC
99,23.5511089805328,14.3400072898777,23.4035570048811,4.38967989156218,20.684459341245,19.7159448746884,22.3379013628748,11.4733576505899,0.702067761369518,3.32402424955586,27.2092159633553,8.1953388500364
100,16.0371216418059,9.24746201378211,14.4837612080712,0.99668667304142,13.9262472336719,14.0636639730571,14.2829655737002,7.13658760564807,0.576589438027341,0.795891038670437,8.0660649695853,-5.42100956544447
102,31.9146420676028,29.1744394974489,21.0980024904205,15.3513207062996,25.294164066999,13.4693576341604,19.5958894401377,22.5539614968452,7.72267585003954,13.8492076560168,22.0452998228763,16.2986180387554
103,14.7342889364457,11.9940863662918,8.06042166013954,2.31373987601865,2.59601825919155,9.88253008457017,8.16546444582486,-0.144184310962304,4.13584830044928,2.41878266170397,5.58829328720754,-0.158388496913352
104,24.1930275502407,20.418368435107,2.64434328987667,-4.93112346118333,16.78380142453,-2.71170971810287,5.09564894222015,13.0091423093962,-10.2871764691629,-2.47981780883985,9.98870966364498,2.41324291258498
105,20.6141316603555,11.4030299697003,28.260033193829,9.2461560805101,20.4874662518774,26.5440374916271,28.5495782912684,11.2763645612223,7.53016037830824,9.53570117794949,29.9105418191531,10.8966647058342
106,29.353838374255,22.5641787462312,34.5977070481134,21.1106325130836,27.918874881384,11.1784407309605,9.68072649988103,21.1292152533602,-2.30863380406928,-3.80634803514874,13.754207236999,0.267132701969189
108,32.4415432358208,29.7013406656669,10.1033613557977,4.35667957167681,33.3957852723997,2.19653582783072,5.25516767090426,30.6555827022459,-3.55014595629017,-0.491514113216628,14.7167459816313,8.97006419751037
109,15.097057706423,11.3223985912893,21.1525001770537,13.577033425993701,15.9232149287314,18.1637376168119,22.2088400294317,12.1485558135977,10.5882708657519,14.6333732783717,25.0082421118682,17.4327753608082
110,6.11498839790375,1.03990282243057,12.3784308281117,2.36790719210356,7.8124946238689,12.0482929810834,59.5107203501638,2.73740904839571,2.03776934507524,49.5001967141557,19.8072161527076,9.79669251669942
111,12.2872663383057,3.07616464765054,20.4701778984323,1.45630078511343,9.75645970437612,20.10993621882,20.8610798381204,0.545358013720994,1.09605910550114,1.84720272480147,21.7515210236592,2.73764391034026
