term,estimate,std.error,statistic,p.value,ID,Model
(Intercept),-6.506908201812251,0.27078958551340054,-24.029388683747012,3.706253408074336e-12,59,Cubic
Time,0.10935366057392004,0.03310750533316106,3.3029870258569285,0.005714783347064957,59,Cubic
I(Time^2),-3.1168125624717936e-4,6.078203861662143e-4,-0.5127851308395358,0.6167033148524041,59,Cubic
I(Time^3),-1.2941022177891456e-6,2.8429855415394237e-6,-0.4551912765227829,0.6564807177209782,59,Cubic
(Intercept),-3.320549017395651,0.31719794810017843,-10.468381139549317,1.0551943565621967e-7,60,Quadratic
Time,0.08161184766566318,0.018809737326160154,4.338808471937526,8.034425502295327e-4,60,Quadratic
I(Time^2),-4.904470329017359e-4,1.4260789768481803e-4,-3.4391295353479476,0.004398971034591841,60,Quadratic
(Intercept),-3.9490373737564317,0.27763650641656024,-14.223768425580804,7.124682133397589e-9,60,Cubic
Time,0.19785423662898163,0.03338562773357469,5.926329683177021,6.963385246885164e-5,60,Cubic
I(Time^2),-0.0027681958407599367,6.091126479440053e-4,-4.544636940480035,6.724050114905526e-4,60,Cubic
I(Time^3),1.0738509836021113e-5,2.8326155603923748e-6,3.791022681007094,0.0025714665831609858,60,Cubic
(Intercept),-2.535763372968861,0.29788082311371367,-8.512677474376567,1.979605337344595e-6,61,Quadratic
Time,0.0642626473695725,0.017051027447696536,3.7688431132197784,0.0026774292264716885,61,Quadratic
I(Time^2),-3.6895375000481383e-4,1.286732647955327e-4,-2.8673691507796675,0.014158796192585248,61,Quadratic
(Intercept),-3.064244048170141,0.2968621440159229,-10.322111154751287,5.380790641805962e-7,61,Cubic
Time,0.15658157021287275,0.03455859012000606,4.5309015694545725,8.565628740909857e-4,61,Cubic
I(Time^2),-0.0021631008448376983,6.27212109831121e-4,-3.448754912305696,0.0054399851660488574,61,Cubic
I(Time^3),8.436542593715667e-6,2.9106724626435475e-6,2.8984857286392787,0.014484299924680578,61,Cubic
(Intercept),-3.3913479065233867,0.16718506128464533,-20.284993649937167,4.5914172611625967e-10,62,Quadratic
Time,0.0407365092263557,0.009152975479972281,4.4506302147855274,9.776766226027168e-4,62,Quadratic
I(Time^2),-2.598911023412747e-4,6.859906187111339e-5,-3.788551843895013,0.0030022392115799826,62,Quadratic
(Intercept),-3.6603509204957763,0.1710001642562401,-21.405540377205828,1.1037176839568069e-9,62,Cubic
Time,0.08628699333514975,0.019115628737970947,4.513950051967204,0.0011187415079249574,62,Cubic
I(Time^2),-0.0011402211899030196,3.449071406787601e-4,-3.305878758146674,0.007934337625312204,62,Cubic
I(Time^3),4.127176617386213e-6,1.595779379177274e-6,2.586307776150132,0.027121220111081906,62,Cubic
(Intercept),-4.034879914050134,0.22893314348657753,-17.624708474274286,7.3586668625120775e-9,63,Quadratic
Time,0.06499765822245977,0.011960161175168717,5.4345135713894654,2.870599906520042e-4,63,Quadratic
I(Time^2),-3.534156492875844e-4,8.907870462731899e-5,-3.9674538461934206,0.002654248234917413,63,Quadratic
(Intercept),-4.438657598048561,0.19014751704582722,-23.343231965415598,2.313736805587485e-9,63,Cubic
Time,0.13306508523973112,0.02045327631977825,6.505807830457834,1.1070079006934654e-4,63,Cubic
I(Time^2),-0.0016657768095369814,3.674781590262272e-4,-4.532995413798439,0.0014200886928521185,63,Cubic
I(Time^3),6.14135819663441e-6,1.696646835409618e-6,3.6197033280362754,0.005574331372745397,63,Cubic
(Intercept),-1.4337154749572487,0.2829654556707079,-5.066750892114865,2.1599021094783244e-4,64,Quadratic
